Ticker,Current Price,Support Level,Proximity %,RSI,Market Cap,Trend Score,Drop %,Drop Type,Technical Score,Fundamental Score,Overall Score
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADPT,10.39,10.12,2.67,28.79,1.58,0,14.56,unclear,17.84,25,42.84
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
ADSE,11.49,11.16,2.96,35.22,0.63,0,16.74,unclear,15.21,25,40.21
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
AGM,174.34,170.58,2.2,27.79,1.84,1,13.35,Structural,18.39,50,84.19
